,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
10,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,4.850807,12.64336,18.97106,19.13742,19.64244,18.09921,18.78449,20.38937,19.62387,17.58959,16.36533,16.23732,16.42795,15.33082,14.71416,13.60513,12.06785,11.79381,11.11868,11.06803,11.23417,11.16803,10.19159,9.766164,7.629599,6.686536,6.036838,4.755412,2.62,2.62,5.398249,2.990511,4.765393,5.212954,5.62,5.62,6.159596,3.771984,1.375519,1.521697,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
11,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,1.757485,10.22287,14.60938,17.59173,19.62,17.47658,18.46517,20.81159,19.62,18.3041,16.55829,15.19411,14.35527,14.62789,14.79076,13.59821,11.91846,11.86144,11.47229,11.03849,10.94785,11.33625,10.00513,9.639478,9.201475,7.10692,6.104866,5.215549,2.62,2.62,3.040473,2.760776,4.685367,5.545126,5.549712,5.9874,5.62,3.085851,1.570482,1.769546,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
12,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,1.910254,10.33192,14.48799,19.16742,18.97057,19.38861,20.0956,19.13381,17.67972,15.98377,14.81127,13.73948,15.34306,14.1222,13.48874,12.53797,11.95043,11.85241,10.93719,11.7591,10.05335,11.18733,10.55931,10.22774,8.11931,7.185194,5.220377,4.17976,2.62,2.578868,1.636779,3.580742,4.353958,5.62,5.969601,5.62,5.182195,2.085581,1.527702,1.607321,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
13,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,4.106247,10.62023,15.34689,17.62295,18.3554,17.74634,19.01743,18.00411,17.15851,16.60228,15.24258,14.66964,15.14753,14.6923,13.34179,12.59313,11.6678,11.39128,11.24235,11.52703,10.7741,9.9298,11.10312,10.64537,9.62,8.785847,6.886699,5.633395,2.62,2.62,2.310846,2.66523,4.798366,5.62,5.575039,5.922741,5.725297,3.46683,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
14,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,3.774751,11.11273,13.95131,16.51955,17.20723,17.78466,18.22662,17.3255,16.99394,16.62638,15.53912,14.99203,14.42971,14.30816,13.53439,12.49485,10.89753,10.61542,11.2984,10.8433,10.55427,9.776645,10.55124,10.59445,10.06663,9.6214,8.487185,6.836675,6.4834,4.561409,4.767498,5.852285,5.62,5.62,5.62,5.718252,5.344596,3.758497,1.847765,0.7498194,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
15,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,4.97266,11.05269,14.06626,15.67436,16.68564,17.19282,17.29841,17.12753,16.84225,16.33983,15.79318,15.37902,15.04762,14.45292,13.40844,12.31941,9.811931,11.39671,10.99118,11.55009,10.52347,9.757937,9.969452,10.49123,10.44101,9.670969,9.62,8.603352,7.238695,5.62,5.62,5.728727,6.349748,5.738929,5.62,5.62,5.11355,4.101009,2.671359,0.3773375,0.9714094,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
16,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,4.087062,10.5941,13.66226,15.30438,16.47058,16.54415,16.09154,16.08596,15.53601,15.91201,15.49042,14.65764,14.46184,14.73652,13.52187,12.07766,10.08068,11.23306,11.2348,11.51819,10.5901,9.626057,9.923892,10.10149,10.02425,9.729478,9.643898,8.281043,6.155052,5.62,5.62,5.726814,5.923588,6.053027,6.252857,6.022472,5.846071,4.859574,3.905953,2.415183,2.62,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
17,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,1.62,5.62,10.14146,13.85133,15.37385,15.55043,15.3665,14.99641,14.27602,14.78489,15.00101,15.01885,14.5781,14.18321,14.65607,13.75484,12.4362,11.54676,11.22895,11.29835,11.40602,10.76613,9.987812,10.10722,10.27382,9.997314,9.718879,9.648619,9.111825,7.368298,5.62,1.789601,5.62,5.654893,6.006911,6.613703,6.812182,6.584722,6.029069,5.062789,2.217998,1.982103,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
18,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,1.339628,6.34368,10.43107,13.38303,15.34664,15.36771,15.02789,14.49498,13.69039,13.82298,14.1677,14.53011,13.8906,14.06487,14.54442,14.31843,13.02042,12.3903,11.32911,11.05513,10.9594,10.89888,10.63506,10.73622,9.789237,9.936235,9.806608,9.693769,10.37493,8.912062,5.218323,4.58358,5.62,5.62,6.169469,6.314592,6.96445,7.092823,6.507359,5.611598,3.097062,2.62,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
19,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,2.572663,5.62,10.252,13.00064,14.18868,14.64427,14.62349,14.39355,13.95894,13.55668,14.08486,14.41311,14.1438,14.59658,14.4483,14.32857,13.56363,12.63287,11.53177,11.06562,10.65385,10.73796,10.75627,10.50788,9.851998,10.05369,10.09668,10.07626,11.08727,9.62,7.63854,5.973077,5.62,6.099208,6.578453,6.738408,6.543079,6.647699,6.651213,5.573912,4.224399,2.972987,3.12636,3.37484,3.430213,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30,-1E-30
